formula,target
Ba2 Ca1.37 Cu2 F0.2 O7.88 Tl1.63,0.140650217
C1 Hf0.5 Mo0.5,0.34657359
Bi1.9 In0.05 S0.05 Te2.85,0.238772424
Ca19.1 Fe0.44 Mg1.56 O56 P14,0.026675012
Mn0.96 Nd1 O2.886,0.134072128
Ca0.01 Fe0.61 Mg1.38 O4 Si1,0.182974513
Hf1.5 O7 Ti0.5 Y2,0.102242754
Fe2.89 Ge1 Te2,0.059537606
Mn0.4 Ni7.2 O8,0.086283547
H16 B12 Mg1 Na2 O28,0.046993029
C5 Dy2 Mn1.4,0.145443881
K0.03 La0.85 Mn1 Na0.12 O3,0.09955389
Bi0.8 O7 Ru2 Sm1.2,0.122365758
Ba1.6 Cu3 O6.201 Sr0.4 Yb1,0.135673647
H2 Ca1.04 Mg4.244 Mn1.716 O24 Si8,0.085142655
Cu2 Ir1 O3,0.136095027
O18 Rb2 Ta6 Ti1,0.106392793
As1.04 Co0.27 Fe0.19 Ni0.54 S0.96,0.795497792
La0.2 O3 Sc1 Y0.8,0.100080485
Ag1 Cl6 Cs2 In0.794 Tb0.206,0.050860852
Ag0.1 Cu0.9 Mn3 N1,0.065016595
Ag0.075 La0.7 Mn0.879 O2.632 Sr0.1,0.65592504
Cu9 La13 O38.5 V4,0.017436749
H2.04 As2 Fe1.94 O10 Pb1 Zn0.07,0.029296609
C9 H30 Cl9 P3 Sb2,0.078469492
Cu2.192 Mg3.808 Na4 O32 S8,0.048240262
Fe11 N0.51 Ti1 Y1,0.217785918
Ge2 Ru0.29 U1,0.183024828
Co1.14 Sn1.14 Ti1,0.239949551
Co1 Fe1 Ho1,0.46209812
Ca1.81 Si3 Sr3.19,0.339726808
La1 Ni4 Zn1,0.41700202
Cu0.32 Fe2 O4 Zn0.68,0.281262823
O7 Sn1.4 Tb2 Zr0.6,0.454352657
Ba3 Cu1.94 Se10 Sn3,0.012497607
Mo0.41 Os0.59,0.676858547
Ca2 Mn9 Na1.25 O18,0.135395544
Ca0.97 Fe0.036 Mg0.994 O6 Si2,0.028449641
Ag0.75 Si0.25,0.562335145
Nb2 Pd0.756 Se5,0.044668976
Ca0.05 La0.95 Mn1 O3,0.039703049
Cu1 P3 Si2,1.068037277
Co6.5 Re4.35 Si2.15,0.370672056
Al0.5 Cr0.5 Fe1,1.039720771
Ga5 O12 Tb3,0.007788251
O3 Pb1 Ti0.48 Zr0.52,0.138469393
Ge6 La8.44 O26.22 Sr1.56,0.063358417
Er2 Se3,0.277258872
Bi1.874 O6.928 Ru2,0.465029668
Ce0.26 Ga2 Li0.74,0.191018972
Ga16.18 Ge29.82 Sr8,0.551218934
Ag6.5 Al12 O48 Si12 Tl5.5,0.441881354
Al3.24 Bi2 Cr0.76 O9,0.088476327
Ba8 In6 O17,0.21767812
Ga1 Na1 O8 Si3,0.042796675
Bi0.62 O1.5 Sm0.38,0.138183405
C6 H44 Co2 N12 O16,0.103972077
Cr0.005 S1 Zn0.995,0.015739533
Cd1.25 Li2 Tl0.75,0.330781619
Li2 Mg1 Sb1,0.34657359
Cu2 S2 Yb0.67,0.135798423
Bi0.12 Co1 O2.724 Sr0.88,0.272723856
As1.4 Cu3.8 Mg0.2 O9 P0.6,0.112824234
Dy0.35 Th0.65,0.647446639
Ga1.19 Nd1 Si0.81,0.44999132
C6 Cr18.4 Mo4.6,0.371914718
H1.8 Al2 F2.2 K2 Mg6 O21.8 Si6,0.239325159
La0.3 O3 Pb0.56 Ti1,0.197766666
Ba0.06 Bi0.47 Na0.47 O3 Ti1,0.175705174
Hf2 O7 Y2,0.526068183
Ca0.48 Cr0.02 Ho0.52 Mn0.98 O3,0.158077216
Bi2.92 Ca3.08 S16 Ti5,0.153765785
Ba2 Cu3 Er1 O7,0.056449999
Ba1.88 Gd0.56 Mn1.95 Se5,0.143399505
Eu0.075 O2 Sn0.925,0.088794821
As0.43 Cr3 Si0.43,0.259344575
Ca1 Cu3 Mn0.5 O12 Ru3.5,0.075354032
Cr1.5 Cu1 Se4 Ti0.5,0.160667184
K1 Nb1.77 P1 S10 Ta0.23,0.050684641
Mg0.9 O12 P3 Zn0.4 Zr1.6,0.055759477
Cu1.22 Se2 Y0.95,0.371558103
Li0.284 O12.91 Si3 Sm4.512,0.08429926
H2.03 Ca10 O25.85 P5.67 Si0.33,0.13226615
Li0.68 N2.96 O7.52 Sr3.32 Ta3.32,0.704551944
Li0.52 Mg0.96 O6 Sc0.52 Si2,0.138469393
K0.008 O2 Ti1,0.011770867
Ca0.1 Fe1 O3 Pr0.9,0.065016595
Ag0.15 La0.85 Mn1 O3,0.084541818
Ba2 Cu2.821 Gd1 O6.74,0.08302927
Hf1.9 O6.952 Sm2.096,0.061064397
F1.33 Nb0.67 O1.67 Ti0.33,0.673520933
Bi0.5 Cu1 Hg0.5 La0.5 O5 Sr1.5,0.4307915
Al8 Cr4 Np1,0.426552111
La4 Mn0.5 Ni2.5 O10,0.079605404
C5 Ba0.51 Ca1.34 Ce0.21 La0.15 Na1.78 Nd0.06 O15 Pr0.03 Sr1.59,0.268300371
La0.66 Ni1 O4 Sr1.34,0.181193896
Cr1.2 Mn0.8 Tm1,0.448674445
Ca0.2 Fe1 O3 Pr0.8,0.100080485
Fe2.811 O4,0.048713291
Ca4 Cu1.3 Sn3,0.329701812
Ba1 Ca1.125 Mg1 O8 Si2 Sr0.875,0.097919908
Ca9 Lu1 O28 V7,0.053485215
Dy1 Fe4 Mn8,0.518061448
Ca0.4 Co1 Nd0.6 O2.78,0.304812557
As1 Fe0.9 La1 O1 Ru0.1,0.081270743
As0.71 Ce0.79 La0.1 Nd0.1 O4 P0.29,0.208495717
Ba8 Cu5.2 Ge40 Zn0.8,0.042931856
Cu0.5 Si1.5 U1,0.374890096
H1.98 Y1,0.322162834
I5 Sb1 Se2 Sn3,0.25205352
C0.1 Al0.44 Ca0.99 Eu0.01 N2.9 Si1.45,0.323360086
Cu0.5 Ga1.5 Y1,0.374890096
Cu0.5 Ga1.5 Tb1,0.374890096
Cr2 S1.2 Se2.8 Zn1,0.349065315
Ca1 Fe0.667 O3 W0.333,0.159227971
Al72 Ge26.3 Mn57.7,0.359500073
As1.5 Li1 O12 P1.5 Zr2,0.11552453
Ba0.1 Bi0.88 Fe0.9 O3 Ti0.1,0.147283964
Bi3.87 Mn8 O20,0.017775597
Fe1.8685 Li0.6515 Mn0.462 O4,0.403678542
Ge1 Li1 O5 Ta1,0.086643398
Fe1 O3 Sc1,0.277258872
Co0.037 Li1.249 Mg0.014 Mn0.5 Ni0.2 O2,0.303926339
