formula,target
Al12 Cd6 O48 Si12,6
Bi3 Cu0.23 Ir0.77,4
H1 Li1.9 N1,3
C2 H8 Cl2 Cu1 N12,13
Ba2 Ca1 Cu2 O14 Tb2 Ti3,11
H12 B3 Lu1,6
Bi3 Nb17 O47,20
Cl1 O4 Rb1 S1 Zn1,8
Mo0.04 O3 V1.96,2
C2 Ag1 K1,3
Al1 Au2 Sc1,3
Ag5 Cl2 P1 S4,6
I2 O6 Pd1,5
Cr0.4 Si1 V2.6,2
Na4 Ni7 O24 P6,20
C1 In1 Mn3,3
Ca1 O4 Sc2,7
Ag1.876 As19.032 Pb8.216 S40 Sb0.716 Tl2.16,20
Al3 Ca1 Fe8 Mg1 Mn1 Na4.6 O48 P12,20
Ca9.48 F5 Na2.76 O31 Si8 Y1.76 Zr2,20
C1 Mn3 Sn0.5 Zn0.5,3
Cu1 Ho2 In3,2
Cu2 Li2 O9 S2,8
Mo6 Nd1 Se8,4
C0.4 Tb1,2
Cu1 Sc1 Sn1,2
Al1 Ca0.8 N3 Si1 Sr0.2,4
C4 La1 Tm1,2
La1.6 Ni1 O4.104 Sr0.06,6
Al2 Fe0.5 Mg0.5 O4,3
H12 Cu1 K0.246 O14 Rb1.754 Se2,17
C1 N2 Sr1,5
Ce0.99 Dy0.01 O3 Sr1,4
F2.19 Lu0.19 Sr0.81,6
Al1.81 Fe0.73 Mg0.29 O4,3
Gd9.08 Mg45.9,18
Fe1 O7 Sm2 Ta1,12
Ca0.79 Gd0.21 O5 Si1 V1,6
Cr1.648 Cu0.983 Fe0.196 Se3.836,3
Bi0.5 Mn0.5 O3 Sr0.5 Ti0.5,3
Bi2 Nb1.75 O12 Sr2 Ti0.76,11
Ba0.2 O3 Pb0.8 Zr1,3
Ce0.16 O2 Zr0.84,2
Br3 Fe1 K1,5
Ce1 Mg1,2
K2 Ni3 S4,4
P7 Pd9 Tm5,9
Hf1 O0.208,3
Pd3.2 Ti0.8,2
Pr3 Sb5 Ti1,4
As1 Br3 F6,10
Ca4 O1 Sb2,4
Mg1 O5 Se2,5
Hg6.16 I6 Sb4 Sn1,10
Ba6 Co4 La2 O15,10
O14 P5 Tm1,20
Dy0.25 S1 Sm0.75,2
Ge3 Yb2 Zn3,8
Am1 Ir2,2
Al0.4 Fe1.6 Mg1 O4,3
As2 Ba1 Co1 O7,11
As1 Co0.25 Li0.5 O5 Ti1,9
K1 La1 Na1 Nb1 O5,6
Ce1 I4 Sr1,4
K1 La1 O3 Pd1,6
Bi1.96 Se3 Zn0.04,3
Al1 Cu2 O7.89 Sr2 Y1,7
Ca2 K1 Nb3 O10,12
Pb1 S3 Sn1,5
Co1 Gd0.5 O2.75 Sr0.5,3
H28 Al0.43 Fe0.57 N1 O20 S2,20
C2 H4.75 Ca1 O6.375,10
Cu0.4 Mn1 Ni1.6 Sn1,3
Er10 In20 Ni9,12
Ge2 O5 Sr1,7
Co0.309 Li1 Mn0.33 Ni0.334 O2 Ru0.025,3
Ba1 Fe11.1 O19 Sn0.9,11
C1 Fe13 Ga2 Mn2 Sm2,6
Al0.6 Fe1.4 Ho1,2
Li0.64 Mn2 O4,3
P1 Ta1.2 Ti1.8,4
Al0.3 Ca1 O5 Si1 Ta0.3 Ti0.4,6
Ca1.438 Fe1.4 O7 Sr0.322 Tb1.24 Ti0.6,11
H8 F12 K6 O12 Zr3,20
Ni1.26 V0.74 Zr1,2
H0.1 Al2 F1.9 O4.1 Si1,7
La0.8 Ni1 O5 Ru1 Sr2.2,6
Ga1 La0.83 Nd0.17 O3,4
