formula,target
Mn3.402 N0.855 Ni0.598,6.69
Cd1 Mo6 S8,5.7
H2 Ga1.94 Ge4 K1 O12,4.19
S4 Tm2.67,6.92
H3 B1 Fe14 Nd2,7.31
P1.25 Pt0.75 Sr1,7.06
Ba1 Ru4.57 Sn9,8.62
Co2.9 Fe4.1 O24 P6,3.94
Cd1 Cl4 Na2,3.02
Ba1 Br0.5 F1 I0.5,5.35
Bi1.64 O4.9 Pb0.18 V0.91,7.04
H106 Fe0.47 Mg0.83 O173 Pb8.74 U36,6.13
Be13 Np1,4.35
H10 Co5 O20 P4,3.49
Cr0.5 Pt0.5,14.68
H6 K2 O6 Sn1,3.14
La0.67 Mo1 O4,4.9
Al0.032 Ca0.19 Fe0.851 Mg0.916 Mn0.029 Na0.003 O6 Si1.968 Ti0.01,3.56
C5 Cl1 F22 Ir1 O5 Sb4,3.45
Ba0.6 Cu1 O5 Sr0.4 Y2,5.99
Bi1 O6 P1 Zn2,6.32
F1 Pb3 Sr5,5.98
Cl9 Na2 O2 Pr4,3.85
Ca1.74 Co1 O7 Si2 Sr0.26,3.4
La1.6 Ni1 O4.16 Pr0.4,7.13
H1.166 Ca1 O4.583 S1,2.76
H3 Fe2 Lu1,8.46
In1 Pd1 U1,11.72
Mn4 Na1 O12 V3,4.0
H1 Ca1 Co1 Si1,3.57
Ca1.01 O4 Pr2.99 Sb1,5.92
Li0.2 Na0.8 Nb1 O3,4.52
Li1.075 O2 V0.925,4.17
C6 Cl12 Cs4 N6 Nb6 S6,2.87
Ag2.16 Ga0.84,9.65
Ga0.02 La0.706 Mn0.98 O3 Sr0.294,6.45
Bi0.37 Ca0.63 Cr0.036 Mn0.964 O2.99,6.23
Cl4 Fe1 Rb1,2.52
H8 Na4 O22 Si4 Ti4,2.86
Ce2 Ga12 Pd1,7.01
Ag1.2 Ga1.2 Ge1.8 Se6,5.12
Al0.2 Fe1.8 Sm1,8.13
Ag9 Ge2 N1 O11,6.48
Fe0.42 Mn0.58 Se1,5.64
Ba0.56 Ce0.886 O3 Pr0.44,6.15
C48 H40 As2 Cl4 Te1,1.5
Ba2 Nb4 O18 Ti3,5.27
As1 Co0.05 Fe0.95 La1 O1,6.69
K3 Li1 Si4,1.71
B2 Fe1 Ir5 Sc2,14.15
Al0.79296 Fe4.87104 Yb0.693,15.11
Se0.4 Sn1 Te0.6,6.41
Co0.69 La1 O3 Rh0.31,7.41
Cr1.2 Mn1.8 O4,4.95
H4 B6 Na1 Nd1 O13,3.1
H2 Al0.42 Ca0.1 Fe1.65 Mg4.99 Mn0.05 Na0.05 O24 Si7.78 Ti0.01,3.14
Ba2 Cu2.93 O6.91 Y1,6.31
B2 Fe1.34 Mg0.66 O5,3.57
Cu0.2 Fe0.8 La0.6 O2.87 Sr0.4,6.26
Gd1 Ho1 O3,7.98
Er0.5 Te0.5,9.02
Fe1 Nb11 O29,4.52
H10 N2 O9 P2 Zr1,2.39
Am0.95 Pu0.05,13.82
Ni1 Sc0.15 Sn1 Zr0.85,7.5
B3 Eu4 Li1 N6,5.93
Li1 Mn0.2 Ni0.8 O2,4.71
Ag3 B5 O9,4.93
Mo6 S8 Tb1,6.11
C144 H384 N16 O192 Si64,1.64
Mn1 Mo1 N2,7.4
Ag2 S3 Te1,5.31
Cl3 N3 O2 S3,2.13
Dy2 O2 Te1,8.43
H6 Cl2 Cs2 O6 Te1,3.6
Ba12 Ir1.752 O33 Rh9.248,6.92
Ba8 Cu5.2 Ge40 Zn0.8,5.95
B2 Ce1 Co3,8.35
H12.274 O19 Pb0.863 U4,5.8
Ga1 S1.208 Se6.792 V4,5.53
Al1.56 Fe11.44 La1,6.99
Cl11 Nb3 Tl1 V1,4.15
As1 Cr1 O3 Sc1 Sr2,5.01
Br1 F3 Rb1 Sb1,4.27
Ag0.2 Ce1 Cu1.8 In1,8.15
Ag2 La2 O10 Ti3,6.27
Ba2 Ca2 Cu3 Hg0.72 O8.694 Re0.16,6.12
Er1 Ga0.4 Ge5.6 Mn6,8.09
Mg1 Ni1.9 Y2,5.1
Hf3 P2,11.12
Au1 Lu2,12.55
Se16 Sm9.78 Yb0.888,6.89
Ba8 Ga14.6 Ge25.9 Mg3.97,5.42
Ca0.2 Fe1 La0.8 O3,6.23
H4 B2 Ca1 O6,2.53
Fe0.7 Zn0.3,7.67
Fe2.9 O4,5.08
O2 Si0.98,1.33
Eu1 Pt1 Sn2,9.96
In1 Np2 Rh2,12.67
Cs1 Cu3 Dy2 S5,5.67
H6 Ca1 Ni5,5.35
Al0.13 Ca0.9 Fe0.27 Mg0.75 Mn0.01 Na0.02 O6 Si1.9 Ti0.02,3.39
Ba2 Cu2.7 Fe0.3 O7.09 Y1,6.33
C6 H20 Nd2 O22,2.42
H0.075 Ba1 F6 O0.0375 Zr1,4.65
Al4 In3 Sr11,3.51
Ca2 Lu1 Nb1 O6,5.74
Ge1.25 Ho3 S7,5.69
Cl14 Sn2 W3,4.49
C4 H9 Cu3 N7,2.15
F5 Li1 U1,6.23
Fe0.95 W0.05,8.62
