,formula,target
63684,Al0.5 La1 Ni0.5 O3.054,1
63685,Mn1 P2 Rb2 S6,0
63686,Cd1 Gd1 O7 Sb1 Ti1,1
63687,Pd2 Si1,0
63688,Bi2.12 Pb5.82 S8.7 Se0.3,1
63689,Dy13 Zn58,0
63690,Er3 Ge13 Ir4,0
63691,N2 S4,0
63692,Br2 P4 Se3,0
63693,Al0.886 Ga0.114 O4 V1,1
63694,Au51 La14,1
63695,H10 B2 Li1 N2 Na1,0
63696,Cu1 Pb3 Zr5,0
63697,Ag3.73 P16 Zn2.27,1
63698,Fe0.33 Ge2 Tm1,1
63699,Al14 Ca13,0
63700,Cu0.2 Nd1.8 O6.8 Ru2,1
63701,Be1 Se1,0
63702,Ga0.83 Pd2.17,1
63703,F1.46 Na3 O9.54 P2 V2,1
63704,Ge3 Yb5,0
63705,Al1 Ce3 S7 Zn1,0
63706,Ba1.6 Mg1 O7 Si2 Sr0.4,1
63707,F2.19 Lu0.19 Sr0.81,1
63708,Cu3 Fe1 Se4 Tl2,1
63709,Fe1 K3 Se3,0
63710,Ba1 S3 U1,0
63711,C12 Fe8 La21 Sb7,0
63712,Ce1 Cu2 N12 O24 Rb5,0
63713,Cs0.162 O2.534 W0.68,1
63714,Bi0.75 Ca0.25 Ir1 O3.41,1
63715,H3.2 Al6.693 B3 F0.8 Fe2.307 Na0.78 O30.2 Si6,1
63716,Mo3 Nb1 O22.5 Sr11,1
63717,Co1 Os1,1
63718,Ce0.6 Cu2.03 Gd1.66 O10 Ru0.97 Sr1.74,1
63719,Bi1 F6 Li1,0
63720,Ba0.25 Co1 La0.75 O3,1
63721,Ba2 Ca1.47 Cu2 O6.56 Tl1.53,1
63722,H10 B12 Ni1 O24,0
63723,Cr0.106 O7 Ti1.894 Y2,1
63724,Au1 K3 Se2,0
63725,C14 H24 Co1 Cs1 N8,0
63726,Ca0.73 O3 Sr0.27 V1,1
63727,Ag0.1 Ca0.2 La0.7 Mn1 O3,1
63728,Al0.5714 As0.5714 Ni1.9999,1
63729,Au3 Ho1,0
63730,Ge2 Pt1 Y1,0
63731,H20 B4 Mg1 N4 Na2,0
63732,C4 N4 Pt1 Zn1,0
63733,Cs1 Ga1 S2,0
63734,C0.93 Fe10.04 Ga2.96 La1,1
63735,Cr1 Ge1 Nb1,1
63736,Eu1 N0.036 O2.964 Ti1,1
63737,Cs3 N4 Np1 O10,0
63738,Cu1 Hg0.5 La0.8 O5 Pb0.5 Sr1.2,1
63739,Au3 Ge1 Na1,0
63740,Rh5 Si3 Tb1,0
63741,Cu1 Gd2 K1 Se4,0
63742,Nd4 O4 Se3,0
63743,Al1 F1 O4 Sr3,0
63744,Br3 Fe1,0
63745,Ba1 Co1.6 Nd1 Ni0.4 O5.587,1
63746,Ho1 Ir2,0
63747,B0.444 Rh3 Sc1,1
63748,H1 Cd1 O3 P1,0
63749,Rb1 S2 Sb1,0
63750,Cs5 Na6 P5 S20 U1,0
63751,Gd2 O2 S1,0
63752,C1 B2 Pr1 Rh2,0
63753,Co1 Hf9 Mo4,0
63754,Al9.955 Ca1 Fe3.045 O19,1
63755,Al1.5 Cs1 F6 Li0.5,0
63756,Fe0.3147 Li0.951 Ni0.7343 O2,1
63757,Ni0.142 Sn2 Y1,1
63758,Ba6 Cd0.52 Cu2.47 S16 Sn4,1
63759,Al1.1 Ba0.98 Ca0.03 Ni0.48 O16 Ti6.4 Zr0.02,1
63760,Nb0.33 Ta0.33 V0.34,1
63761,La1 Nb2 O7 Rb1.89,1
63762,H4 Na2 O12 S3,0
63763,La3 Li6.4 O12 Ta0.6 Zr1.4,1
63764,Co2.3 Mn0.7 O4,1
63765,C1 Fe11 Ti1 Tm1,1
63766,Mn0.5 Si2 Ti0.5,1
63767,B13 Co1 Ho4,0
63768,Os0.5 Ta1.5,1
63769,La0.8 Mg0.4 O4 Ru0.6 Sr1.2,1
63770,Rh5 Y1,0
63771,Mg1 Mo0.4 O6 Sr2 W0.6,1
63772,B2 Re0.52 W0.48,1
63773,Ga1 Mn1 O5.47 Sr2,1
63774,H5 N6 O2.5 Zn1,0
63775,C1 H3 Li1 O3,0
63776,Ga1.987 Pt2,1
63777,Al0.47 Ca2.9 Fe0.33 Mg0.08 Mn0.02 O12 Si3 V1.2,1
63778,O5 S2 Sm2 Ti2,0
63779,Fe1 O4 Pb0.504 Sb1.496,1
63780,Ba2 Cu0.5 In1.5 O4.56,1
63781,Ca1 Ga3 O7 Sm1,1
63782,O17 P4 Pb1 V3,0
63783,Ba1 Cu5.79 Se0.61 Te6.39,1
63784,Bi0.8 Ca0.2 Fe0.2 Mg0.3 O3 Ti0.5,1
63785,Dy0.07405 O1 Zn0.8886,1
63786,Al2 Mo3 O12,0
63787,Cu2 Eu1 Si2,0
63788,As5 Cs5 Se9,0
63789,B1 Cr1.75 Mo0.25,1
63790,Al0.09 B3.94 Cr0.06 Fe2.44 Mg4.73 O16 Si0.06 Ti0.68,1
63791,Cd1 Li1 P1,0
63792,Al3 B6 Co20,0
63793,H4 Hg1 O6 Te1,0
63794,Na7 Nb15 O80 W13,1
63795,K1 S2 Sc1,0
63796,Cd1 Cr2 S0.8 Se3.2,1
63797,La1 Mo5 O8,0
63798,Cr0.5 Cu0.5 P1 S3,1
63799,H8 F1 N2 O3 P1,0
63800,Am4 Sb3,0
63801,Li0.3 Mg0.7,1
63802,Bi0.85 Fe0.95 O3 Sr0.15 V0.05,1
63803,Fe0.1 Mg0.9 O3 Si1,1
63804,O0.532 V1,1
63805,C2 Ba0.04 Ca0.86 La0.42 Na0.42 O6 Sr0.26,1
63806,Al3.982 Fe1.03 Mg0.988 Na0.037 O18 Si5,1
63807,Ba3 Fe3 O14 Si2 Ta1,0
63808,H1 Cd2 Li1 O7 Se2,0
63809,Ag0.9 Se2 Sn1.1,1
63810,Ba0.97 Nb1 O3,1
63811,Ba1.8 Ca0.2 Cu3 O7.1 Pr1,1
63812,Fe16.78 Gd2 Ti0.41,1
63813,Mo15 Rb3 Se17,0
63814,C6 Dy11 Ni60,0
63815,Cu2 Ho2 In1,0
63816,Al0.3 Ca1 Mg0.85 O6 Si1.85,1
63817,Cd1 K2 O6 Se2,0
63818,Eu1 Mg3 N4 Si1,0
63819,Cu0.13 P3 Ti4.87,1
63820,Eu0.95 Mn1.05 O3,1
63821,Al1.54 Au2.46 Na2,1
63822,B6 Tm1,0
63823,H1 F1 O4 P1 Rb1 Sn1,0
63824,Fe0.4 In0.6 S1.2 Se0.8 Tl1,1
63825,Mg1 S2 Zn1,1
63826,Ni2 Ta2 Te4,0
63827,C0.88 Fe17 Ho2,1
63828,Cd0.95 Cr2 Cu0.05 Se4,1
63829,Eu0.05 Li0.05 O6 Sr1.9 W1 Zn1,1
63830,In1 Pt2.2,1
63831,Ca9 Nd1 O28 V7,1
63832,Cu1 Er2 O6 Ti1,1
63833,Er2 In1 Ni1.78,1
63834,Ga1 La3 Mn1 Se7,0
63835,O7 Ru2 Tm2,0
63836,Nb0.05 Ni0.93 Sb0.02,1
63837,Bi2.08 Pb5.92 S9,1
63838,Cd13 Rb1,0
63839,Ba1 Co4.6 Ge9,1
63840,H1.27 Ca1 F1.73 K1,1
63841,Er6 Ni2 Sn1,0
63842,Mn1 S14 Si2 Y6,1
63843,Fe1 Mn2 Zr1,1
63844,As4 Cl2 Cu4 La5 O4,0
63845,Bi0.5 La0.025 Na0.475 O3 V1,1
63846,Mo0.2 S2 Ta0.8,1
63847,Co9.5 La1 Si3.5,1
63848,Cl6 Cs2 Eu1 K1,0
63849,Al1.7 Cu0.3 Pr1,1
63850,Y1 Zn3,0
63851,Au1 Pb1 Y1,0
63852,Ni1.2 V0.8 Zr1,1
63853,Pd1 Sb1 Tm1,0
63854,Fe3 Ni0.5 Pt0.5,1
63855,Cl0.72 Cs17 Ga15 Ge9 I1.28 Se48,1
63856,Ba1 Cu3 La1 O7.36 Pr1,1
63857,Ca1 Ge1 O3,0
63858,Pb1 S4 Y2,1
63859,Bi1.5 Ca1.25 Cl3 O2,1
63860,I3 La1 O9,0
63861,Cd0.72 Cu3.64 Ga3.64 S8,1
63862,Ba1 La1 O6 Ta1 Zn1,1
63863,Ba9 Ga3 O12 Sb1,0
63864,Ag1 Sb1 Yb1,0
63865,Cu1 Fe7 La3 Mn22 O72 Si12,1
63866,H4 K4 Mo5 O23 Se2,0
63867,Cu1 Li2 Sn1,1
63868,Br1 Cs1 F4,0
63869,Br2 Re6 Se8,0
63870,Ag2 B12 Cl12,0
63871,H6 Al3 As0.31 Na1 O14 S1.69,1
63872,Se2 Sn1,0
63873,Ca1 Co1 O3,0
63874,Ho2 O11 Te4,0
63875,C1 B1 Mo0.9 W1.1,1
63876,N2 Nd1 Th1,1
63877,Bi1 O3 Rh1,0
63878,Ag1 Na1 Nb4 O11,1
63879,N5 O15 Rb2 Sc1,0
63880,Ba1 Cu1 Si1 Te3,0
63881,Al1 K0.22 Na0.78 O8 Si3,1
63882,Ga0.3 La1 Mn0.7 O3,1
63883,Eu3 Ge13 Os4,0
63884,Bi2.12 O9 Sr0.82 Ta2,1
63885,Mg6.27 Ni16 Sn25.73,1
63886,Cl3 Cr0.08 Ru0.92,1
63887,In3 Pt2.092 Sc3,1
63888,Cu2 Gd1 O8 Rh0.075 Ru0.925 Sr2,1
63889,Na10.8 P1 S11.6 Sn1.9,1
63890,Al2 Ba1 Si2,0
63891,Al0.91 Na1 O8 Si3,1
63892,B10 Na2 O17 Tl2,0
63893,Bi1 Ca1 Cu1,0
63894,Ce1 Ga2.65 Zn1.35,1
63895,Na0.6 Nb1 O3 Sr0.4,1
63896,Li0.16 Na0.84 Nb0.9 O3 Ta0.1,1
63897,Li0.96 Nb2 O10 Ti1 U1,1
63898,H1 Ag2 Ni3 O12 P3,0
63899,Ba2 Co0.3 Mg0.7 O7 Si2,1
63900,Cu2 Nd1.013 O7 Sr1.969 Tl1,1
63901,Ca3.372 Cu13.68 O23.36 Pb0.136 Sr4.492,1
63902,O4 P1 Tb1,0
63903,O1.95 Zr1,1
63904,Al4.8 K1 Mg2 O12 Si1.15,1
63905,B1 F15 O3 Te3,0
63906,Fe0.97 Ga0.03 O3 Tm1,1
63907,As3 P1 Si2 Zn2,1
63908,Eu0.0501 La0.1169 O12 P2.833 Pb0.333 Si0.167 Zr2,1
63909,Ba7 Br1.02 Cl0.98 F12,1
63910,Ge1 Na1 O5 Ta1,0
63911,K2 Mo1 O10 U2,0
63912,Sb1 Sm1,0
63913,C3 Ce1 O13 P1 Sr3,0
63914,Ni1.84 Sn1 Ti1,1
63915,Ba1 Mn2 O8 P2,0
63916,B2 Er3 Ni13,0
63917,Fe17.3 Yb1.85,1
63918,Ni1 Ti0.64 Zr0.36,1
63919,Hf1 P2 S6,0
63920,Br6 Pd1 Rb2,0
63921,Ce0.5 Co5 La0.5,1
63922,O3 Sm1 Ti1,0
63923,Fe0.432 Mg1.568 O6 Si2,1
63924,Al1.63 Ca0.63 Na0.37 O8 Si2.37,1
63925,Co7 Ga21 Lu6,0
63926,Co4.72 Ge9 Sr1,1
63927,Ba2 Ca0.2 Cu3 O6.49 Y0.8,1
63928,Ba2 Cu2.91 Li0.09 O6.89 Y1,1
63929,Fe0.77 Ge1 Mn1.23 S4,1
63930,K1 P1 Pb1 S4,0
63931,Ce1 O4 Sr1 V1,1
63932,Ba1 Cu1 Gd1 S3,0
63933,Al1.3 Ga0.7 O3,1
63934,Cs4 Ir1 O4,0
63935,In5 Tb3,0
63936,Hg1 K2 S2,0
63937,Cs2 Se3,0
63938,Ga4 In5 O14 Rb1,1
63939,Mo0.8 Re1.2,1
63940,H0.29 Ba0.4 O2.71 Sr0.6 Ti1,1
63941,H8 N2 O8 P0.96 V2.04,1
63942,Al1 B12,0
63943,Pd5 Sr1,0
63944,Fe0.8 O2.757 Sr1 Ti0.2,1
63945,Ca0.35 La0.2 O3 Sr0.35 Ti1,1
63946,Eu1 Ge3 Pt1,0
63947,Ce0.5 Cu2 Fe1 O9.08 Sr2 Y1.5,1
63948,Fe1.1 Re0.9,1
63949,Co1 O6 Os1 Sr2,0
63950,Fe0.79 Li1.21 O4 Si1,1
63951,Ge4 Li1 Tm2,1
63952,Cu1 Nb2 S4,1
63953,Al15.7 Co2.3 O72 P15 Si3,1
63954,C6 H12 B6 N6,1
63955,Mg1.02 Ni0.06 Zn1.92,1
63956,C8 H24 As8 Cs1 Cu3 I4 O8,0
63957,Cu5.58 Ho2 P4.5,1
63958,H3.36 Al8.35 B3 F0.64 Li0.65 Na0.72 O30.36 Si6,1
63959,Ca4 Mg13 Zn29,1
63960,C2 Mg1,0
63961,Se5.45 Sn3.45 V1,1
63962,Ag0.8 In0.2,1
63963,P1 Pr1 S4,0
63964,Cr0.8 Mn0.2 Nd1 O3,1
63965,Ce4 Cl1 N7 O3 Si4,1
63966,In3.93 Ir2 Zr5,1
63967,C1 Co2 O8.86 Sr4,1
63968,Hg6 O7 Si2,0
63969,In20 Ni9.34 Tb10,1
63970,H38 Ca2 O46 V10,0
63971,H2 Ca0.64 Mg0.19 Mn5.98 O14 Si3 Zn0.19,1
63972,Er2 P7 Rh12,1
63973,As2 O6 S1,0
63974,Fe29 Si5 Y4,1
63975,Ge6 Ho4 Ir7,0
63976,Dy6 Fe1 Sb2,0
63977,Co1 Cu2 Ge1 Te4,1
63978,Er2 Ga2.5 Ni1.5,1
63979,Au5.6 Cu1.4 Si1,1
63980,H4 Li1 Na1 O7 Si2,0
63981,Co2 Zr1,0
63982,Ba1 Fe0.5 O2.75 Zr0.5,1
63983,La1 O7 Ru1 Tb2,0
63984,Eu0.5 Nb1 O3.25,1
63985,Rb2 Se5,0
63986,Au0.024 F4 Sn0.976,1
63987,Nd3 O14 Sb3 Zn2,1
63988,Hg0.012 Mg0.988,1
63989,C1.015 H33.127 Al0.889 B0.937 Ca3 O24.754 S0.063 Si0.116,1
63990,B13 F19 O15 Rb10,1
63991,Ba2 Ca2 Fe5 O13 Tb1,1
63992,Eu0.25 La0.75 Li1 O8 W2,1
63993,H8 O16 P4 Tl2 Zn1,0
63994,Am1 P1,0
63995,C70 F30,0
63996,Al2.36 Mg0.45 Mn0.01 O4,1
63997,Al0.5 Ga0.5 Li1,1
63998,Bi4 Cl14 Se8,0
63999,Al5.99 Ca2.9 Fe10.11 Mg0.95 O28,1
64000,B1 Fe1 Li1 O3,1
64001,Fe17.38 Tm1.81,1
64002,Al5.36 Ba46 Cu24.14 O81.6,1
64003,B3 Cs2 Li3 O24 P6 Sr2,0
64004,Cu1 In1 La2 Se5,0
64005,Cu1 La1 O1 S0.5 Se0.5,1
64006,Ca0.0666 La0.667 Mn1 O3 Zn0.2664,1
64007,As1 Cu4 Rb1 S4,0
64008,Cu2 Gd1 La0.02 O8 Ru1 Sr1.98,1
64009,Ga1 Nb1 Nd2 O7,1
64010,Cr0.167 Fe0.5 O4 Sb0.667 V0.667,1
64011,F1 Li2 Mg1 O4 P1,1
64012,Cr2 Se4 Ti1,1
64013,Ni8 P1.5 Si1.5,1
64014,Al1.05 Pt2.95,1
64015,Fe1 O3 Pr0.4 Sr0.6,1
64016,C2 H4 Co4 O14 P2,0
64017,Ba0.89 Bi1.11 O2.93,1
64018,Ba0.245 S1 Sn0.755,1
64019,Fe6 Ge1.9 Sn4.1 Tb1,1
64020,Au0.25 In1.75 Li2,1
64021,C60 Rb0.91,1
64022,K3 O8 V3,0
64023,Ba6 Mn2 Na2 Nb2 O17,0
64024,F1 K2 Nb5 O14 Sr1,1
64025,Cr0.8 Fe1 O4 V1.2,1
64026,Ge1 Pr5 Si2,0
64027,Al3.1 Ba5 Cu1.9,1
64028,B2 Rh3.5 Y0.5,1
64029,F0.5 Fe0.75 O3 Ta0.75 Zn0.25,1
64030,Ca1.75 Cu0.75 O6 Pt1 Sr1.5,1
64031,Re2 Th0.25 U0.75,1
64032,Mn2 Nd1,0
64033,Ba1 Ca1.125 Mg1 O8 Si2 Sr0.875,1
64034,Cu0.5 La0.5 O3.82 Sr1.5 Ti0.5,1
64035,B2 Os1 Yb1,0
64036,C5 H3 K3 N5 O1 Rh1,0
64037,Al1 Cu2 In1 Se4,1
64038,Mg1 Pd3,1
64039,Cr11 K3 S18,0
64040,Co0.03 Ni0.97 O3 Sm1,1
64041,C2 H1 Cs1 O4,0
64042,Cd0.39 Sr1 Zn0.61,1
64043,H1 B5 Ba2 O10,0
64044,Ca0.94 Cu1.766 K0.2 Mg0.234 Na9.92 O32 S8,1
64045,Ba1 S4 Sb2,0
64046,Fe1 O11 P4,0
64047,Ni2.7 Sn2,1
64048,Al1 S8 V4,0
64049,Al1.12 Cr0.88 O4 Zn1,1
64050,Ca0.2 La2.8 O7 Os1,1
64051,C1 Dy3 Tl1,0
64052,B2 Mg0.94,1
64053,Ta0.17 Zr0.83,1
64054,F4 O1 Rb2 V1,1
64055,Ga1 Li0.091 Na0.909 O6 Si2,1
64056,Al0.99 Si0.012,1
64057,Li3 O4 U1,0
64058,Fe0.35 Mn0.45 Na1 Ni0.2 O2,1
64059,Co0.17 O1 Zn0.83,1
64060,Al2.2 Cu0.98 O72 Si33.8,1
64061,Fe0.5 Li1.5 O12 P3 Ti1.5,1
64062,Cd11 Cl1 In9 Rb4 S26,0
64063,Fe1 Mo1 Na0.2 O6 Sr1.8,1
64064,Ga12.85 In0.15 K3,1
64065,Al0.926 Cr0.074 Dy1 O3,1
64066,Mo1 O4 Pb0.6 Sr0.4,1
64067,La1 Ni1 O2.56,1
64068,Ba2 Ni1 O13 Ti5,1
64069,C2 H10 Fe2 O16 P2,0
64070,Ge2 Ru2 Y1,0
64071,C12 H3 O12 Rh1 Ru3,0
64072,Al16 Ir7 Ti6,0
64073,Rh5 Ti3,0
64074,Bi0.95 O4 Ta0.95 Te0.1,1
64075,Bi48 Cl31.5 Cu5.37 O58.93,1
64076,Po1 Tm1,0
64077,Ba1 Mg0.333 Nb0.667 O3,1
64078,Ba3 Be1 Cl18 Zr6,0
64079,Ba1 In0.667 Mo0.333 O3,1
64080,C4 H10 Co1 N4 O6,0
64081,Al1 Cl4 P3 Se4,1
64082,Mn0.1 O4 Ru0.9 Sr2,1
64083,Ge3 La1 Ti1,0
64084,Cs1 Pr1 S2,0
64085,Fe0.081 Li0.758 Mg1 O4 P1,1
64086,C0.89 Hf0.83 W0.17,1
64087,As2 F12 I4,0
64088,Bi0.5 K0.15 Na0.35 O3 Ti1,1
64089,Cu4 Ge4 Y3,0
64090,Ge0.5 Li2 O5 Si0.5 V1,1
64091,As2 O3,0
64092,W0.965 Zr0.035,1
64093,O10 P2 Re2,0
64094,Co1 Fe1 O5 P1,0
64095,B2 Cr2.14 Ir0.86,1
64096,Al0.35 Cs0.35 O6 Si2.65,1
64097,Hf0.87 Ta0.13 V2,1
64098,Al5 B1.632 Ca1.598 Mg2 Na0.402 O20 Si3.368,1
64099,Ag1 Bi0.665 Pb0.035 Sb0.3 Se2,1
64100,Na1 Pb1,0
64101,C6 H12 N10 O6 S1,0
64102,Ba5 Co4 O15 Pr2 Sr1,1
64103,Al3.74 Fe0.34 K0.3 Mg2.6 Na1.2 O30 Si10.22 Ti0.1,1
64104,F1.93 N0.37 Pr1,1
64105,Al2.081 Mg0.878 O4,1
64106,Ba2 F19 K1.85 Rb1.15 Th3,1
64107,Cu2 Sc1,0
64108,Mg0.8 Sc0.2,1
64109,Ga5.54 La3 O14 Ta0.46,1
64110,Au1.35 Sn2.65 Sr1,1
64111,Li0.79 Ni1.01 O2,1
64112,Cu0.25 Mo1 O4 Zn0.75,1
64113,Ba1 Bi2 S4,1
64114,Ca3 Mn1 O6 Zn1,0
64115,C0.03335 Mo0.667 Re0.667 Ru0.667,1
64116,Sn3 Ta2,1
64117,Co3 Fe1 Nb2,1
64118,Co2.7 Fe3.06 Ni3.24 S4.48 Se3.52,1
64119,Cl4 Mo3 S7,0
64120,Cl18 Cu2 Nb6 Rb2,0
64121,Mg0.4 Ni1.6 O4 Si1,1
64122,Cd1 P14 Sn1,0
64123,Cr0.8 Fe0.2 Nd1 O3,1
64124,O12 P3 Sb0.5 Ta1.5,1
64125,Bi1 Fe1 Mn3 O12 Ti3,1
64126,La1 Mn0.1 O3 Rh0.9,1
64127,C12 Al9.6 Na9.9 O120 Si38.4,1
64128,Ge2 Li0.5 Yb2,0
64129,C1.5 Fe14.6 Ga2.4 Sm2,1
64130,Co4 Gd3 Sn13,0
64131,B0.4 Dy1 Fe1.6,1
64132,Gd0.7 In3 Sm0.3,1
64133,Co0.1 In2.9 La4.725,1
64134,Cu2 Nd2 O6.1 Sr1,1
64135,Cl1 K0.6165 Na0.3835,1
64136,Dy1.33 S4 Yb1.33,1
64137,Al2.038 Mg0.294 O3.957 Zn0.673,1
64138,Ge1 Rh1 Th1,0
64139,Gd0.05 Ru0.95,1
64140,C6 H26 Ag4 N2 O21 P6,1
64141,Al1 Na1 O8 Si3,1
64142,H32 B6 N2 Ni2 O32,0
64143,Co5 P3 Tb1,0
64144,Al5.442 Co0.558 Mo2,1
64145,La0.6 Mn1 O3 Sr0.4,1
64146,S7.8 Tl1 V6,1
64147,Cr1 F6 Sr1,0
64148,Ba0.3 O3 Pb0.7 Ti0.6 Zr0.4,1
64149,Ge3 Ni5 U1,0
64150,B2 Co2 Nd1,0
64151,O1.9 Sr1,1
64152,Fe6 Ga6 Tb1,1
64153,Cu3 Li0.52 N1,1
64154,Co1 In3 Lu8,0
64155,Al0.82 Cu0.11 Rh1,1
64156,C4 H8 F6 Mg1 O8,1
64157,Ga0.9 La0.9 Mg0.1 O2.9 Sr0.1,1
64158,As1 Zr3,0
64159,Al2 Eu1 O4,0
64160,Ba1 Ca0.18 Ni1 O5 Y1.82,1
64161,Co0.55 Cr2 Cu0.45 S4,1
64162,Cu2 S2 Tm1,0
64163,H1 As1 Ca1 O5 Zn1,0
64164,C1 Co3 W3,0
64165,C1 O4 Pb2,0
64166,Ir5 La1,0
64167,B2 Pr1 Ru2,0
64168,Re1 Si1,0
64169,Ba3 La1 Nb3 O12,1
64170,Al1 Cu1 Se4 Sn1,1
64171,Eu0.4 La0.6 Ni1 O3,1
64172,N6 O8 S7,0
64173,C24 H60 N2 O28 V10,1
64174,Br3 Hg8 O4,0
64175,Ba2 Gd2 O13 Si4,0
64176,B2 Ba0.91 Ce0.01 K1.04 Mn0.047 O6 Y0.9,1
64177,Fe1 O6 Re1 Sr2,1
64178,Pb2 Rh3,1
64179,Ag0.96 Cu0.8 Te1,1
64180,Si3 Yb1,0
64181,Fe17 N2.91 Nd2,1
64182,Bi2 Mg2 Yb1,0
64183,Ca1 Co1 O7 P2,0
64184,Fe2 Pr0.5 Sm0.5,1
64185,Co1 Dy8 In3,0
64186,Ga3 Ge6.17 K3 Se20 Sn0.83,1
64187,O6.21 Pb2.598 Ta1.404,1
64188,Ge1 Sr1 Zn1,1
64189,H1.1 Cr2 Cu0.65 O4,1
64190,Mn1 Zn13,1
64191,Nd1 Ru4 Sb12,0
64192,Er1 Hg3,0
64193,F4 K2 Na1 Nb1 O2,1
64194,C0.92 Mo1 Ta1,1
64195,Ag2 Fe1 O12 P3 Sn1,1
64196,Ga5 Gd4 Rh9,0
64197,Ca0.8 Mg1 O6 Si2 Sr0.2,1
64198,Ce2 Ni1 Pt1,1
64199,Nb1 O3 Sr1,0
64200,Ba8 Pt3.8 Si42.2,1
64201,P5 Tm1,0
64202,Cd1 Te4 Tl2,0
64203,Si3 V2.5 Zr2.5,1
64204,B6 Fe22 W0.8,1
64205,Ge2 Pd2 Sr1,0
64206,Cd1.67 Cl6 In0.47 Li1.25,1
64207,Ho1 Tl3,0
64208,H22 Al2 O20 S2,0
64209,Co2 Mg1 Nd1 Ni2,1
64210,Fe1 Gd2 Ge4,1
64211,Bi4 Cu4 S9,1
64212,Ca0.98 Fe0.185 Mg0.855 O6 Si2,1
64213,Fe1 O3 Pr0.48 Sr0.52,1
64214,Ba3 Mo0.94 Nb0.9 O8.51 V0.16,1
64215,Ga2 Hf1,0
64216,Bi8 Fe3 Se16 Sn1,1
64217,La2 Na1 O6 Ru1,0
64218,N1 U1,0
64219,Mg0.333 Ni0.333 O3 Ti1 Zn0.333,1
64220,Cu0.64 Ga1.36 Ho1,1
64221,B6 Ca0.5 Sr0.5,1
64222,Ba1 Mn2 Nd0.75 O6 Pr0.25,1
64223,Ni0.96 O1,1
64224,Al4 Mn3 O12 Y1,0
64225,C5 H12 Ca1.965 Cl1 K6 Na1.05 O21,1
64226,Gd1 Se1.89,1
64227,Co3.5 Ni1.5 Th1,1
64228,Be2 Fe0.85 O10 Si2 Y1.69 Yb0.31,1
64229,Ce0.66 Cu2 Gd0.67 Nb0.1 Nd0.67 O10 Ru0.9 Sr2,1
64230,Ge10 Rh4 Tm5,0
64231,Al0.2 Ce1 Fe1.8,1
64232,Ce1 In0.3 Sn2.7,1
64233,Fe2 O9 Te3,0
64234,Ge0.25 In0.75 Se2 Tl0.75,1
64235,As2 Lu0.4 Mn0.2 Zn1.8,1
64236,La2.13 O8.19 U1.87,1
64237,Co0.8 La1 Ni0.2 O3,1
64238,Nd1 Ni2 Sn2,0
64239,S1 Sm0.75 Yb0.25,1
64240,Ca0.9 Mn1 O3 Pr0.1,1
64241,Al2 Co1 Zr6,0
64242,C2 Ca1.11 Mn0.89 O6,1
64243,Li3 O12 P3 V2,0
64244,Eu1 Ir1.75 Pd0.25 Si2,1
64245,Mn1 Na0.1 O3 Pr0.9,1
64246,Cs1 Gd1 P2 S7,0
64247,C2 Ca1 K0.36 Na1.64 O6,1
64248,Ag7 Al12 O48 Si12 Tl5,1
64249,Fe2 Lu1 Si2,0
64250,Cr5 Cs1 S8,0
64251,C2 H14 Br4 N4 Pb1,0
64252,K1 Nb1 O8 V2,0
64253,B2 Rh3.5 Tb0.5,1
64254,Cu0.23 Hg0.655 Se1 Sn0.115,1
64255,Ba1 Co1.7 Nd1 Ni0.3 O5.602,1
64256,Ca2 Cu2 Na1 O12 V3,1
64257,N7 Si4 Sr1 Y1,0
64258,Gd3 Li6 P5 S20,1
64259,Ca2.358 Cu3 O9 Pb0.528 Sr1.578 Tl0.536,1
64260,Ir1 P1 Pr1,0
64261,B3 Li6 Nd1 O9,0
64262,Al0.99 Sb2.01 Zr5,1
64263,Bi2 La2 O12 Ti3,1
64264,Ag0.8 Ge0.2,1
64265,B2 Mg3 Mn3 O10,0
64266,As2 F16 N4 Ni1 O8 S6,0
64267,As5 Ce3.4 Pd20.6,1
64268,Ca0.2 Fe1 La0.33 O3 Pr0.14 Sr0.36,1
64269,Ca0.03 Cu1 Fe0.97 O2,1
64270,Nd6 O12 U1,0
64271,Ce0.15 Cu1 Gd1.85 O4,1
64272,Ba1 O3.7 S1,1
64273,Co0.5 F0.5 Fe0.5 O2.5 Sr1,1
64274,Mo0.85 Si2 Ta0.15,1
64275,Cd1 Cr1.977 Ga0.023 Se4,1
64276,Bi2.414 Ca3.1 Cl5 Cu1 O5.24,1
64277,Cu2 Er1,0
64278,H9 La1 O12 S2,0
64279,Al4 Bi4 Cl16 Se4,0
64280,Cd1 Gd1,0
64281,Cu1 Pr3 S7 Si1,0
64282,Cl2 V1,0
64283,Li1 O6 V0.67 W1.33,1
64284,Ir1 Sn1 Yb1,0
64285,Pt2 Si2 Y1,0
64286,Cu0.66 La1 Si1.34,1
64287,Cu1.95 Se4 Sn1 Zn1,1
64288,As1.6 Fe18.24 O48 S3.36 Sb15.36 Zn0.8,1
64289,Cu1 Si4 Zr2,0
64290,Nb1 Sb5 U3,0
64291,Co0.2 Dy1 Ga1.8,1
