,formula,target
275,As1 Li1,0
276,Er1 Ga0.846 Mn0.958 O5,1
277,Au1 Eu2 Ge3,0
278,Mn1 O2.856 Y1,1
279,Be2 Ca1 Ge2,0
280,Li1.8 O3 Sn1,1
281,Eu2 O7 Si2,0
282,In4 Se3,0
283,Bi3.64 Ge3 O11.4,1
284,Bi0.9 Ca0.1 Ir1 O3.44,1
285,Ca3 Ga3 O14 Si2 Ta1,0
286,Co2 Ga0.932 U2.068,1
287,Ga1.2 Li0.8 N0.4 O1.6,1
288,Ga1 Ni0.2 Pd0.8,1
289,La0.7 Mn0.85 Nb0.15 O3 Sr0.3,1
290,Gd1 Na1 O4 Si1,0
291,Ba1 Cu1 F7 Fe1,1
292,O9 P2 Sr2 Ti1,1
293,Ca0.33 Ce0.33 O1.67 Th0.33,1
294,Pb1 Pr2 S4,1
295,O5 P2,0
296,Ba1 Nb2 O11 V2,0
297,Li0.9 S2 Ti1,1
298,La1 N2 O1 Ta1,1
299,Al2.4 Ga3.6 N2 Na8 O28 Si6,1
300,F0.25 Li0.72 Mn0.28 O0.65,1
301,La0.864 Mn0.985 Na0.096 O3,1
302,Er0.8 Th0.2,1
303,Ga0.37 O4 P1 Zn0.63,1
304,Ga1 Pu3,0
305,Co1 La1 O4 Sr1,1
306,F4 V1,0
307,Mg1 O6 Rh1 Sr3,0
308,Ag1 Cs2 S4 Sb1,0
309,Tl3 Y5,0
310,H32 Al2 O28 Se3,1
311,Hg1 Zr3,0
312,Co2 Er3 In4,0
313,C1 Ti3 Zn3,0
314,Na0.686 O4 Ti2,1
315,Al0.5 Ga0.5 Ni3,1
316,Bi0.95 Fe0.97 Mn0.03 Nd0.05 O3,1
317,Ce0.19 O2 Zr0.81,1
318,Ge1 Se2,0
319,Mn27.772 Ti9.228,1
320,Dy1 Mn1 Sn2,0
321,Na1 O2 Yb1,0
322,C2 Er2 Fe17,1
323,In9 Li2 Y5,0
324,Cr0.3333 I2 Mn0.6666,1
325,Ca0.1 Cu2 La1.9 O6.246 Sr1,1
326,H2.4 Sb1 Ti3,1
327,C3 Nd2 Ni22,0
328,Ag3 As2 K3,0
329,C1 Cr0.57 Mn0.43,1
330,H20 Ge2 N8 Se6,0
331,B1.14 F0.58 Mg2 O3.42,1
332,Hf10 Mn1.16 Sb4.84,1
333,Cu4 K2 Se9 Y4,0
334,Ca3 Pb1,0
335,Ag5 O4 Si1,0
336,Al2.6 O24 Rb2.69 Si9.4,1
337,Fe2.02 Mn0.8 O4 Zn0.18,1
338,Ce2 Ni0.8 Si1.2,1
339,Cs2 F6 Pb1,0
340,B4 Gd1,1
341,C6 H50 B28 Mn4 O100 V10,1
342,Cd2 Eu1 P2,0
343,Al0.83 Cr1.5 S4 Zn0.5,1
344,H12.7 Mg7 Ti1,1
345,Ca3 In2 O12 Si3,0
346,In1 Ni1 Pr1,0
347,Al3 B4 Br1 Li4 O12,1
348,Fe0.5 Mn6.5 O12 Sr1,1
349,C1.5 B0.5 Ca0.24,1
350,H12 Mn1 N2 O10 S2,0
351,Cl1 Cs6 Ho21 S34,0
352,C2 H1 Na2 O7 Y1,0
353,H16 Cd2 Cl6 O8 Sr1,0
354,B4 Tb1 V1,0
355,Fe1.5 Ni0.5 P1,1
356,Fe1.393 Li0.687 Mn0.92 O4,1
357,Be1 Cl2,0
358,Au2.16 Sn1.84 Sr1,1
359,H1 Ge1 Mn1 Nd1,0
360,Hg2 Rb1,0
361,Ca0.987 Eu0.013 Mg1 O6 Si2,1
362,Co2 Gd4 Mg3,0
363,Gd0.524 Na0.476 O4 W0.992,1
364,C6 Fe1 N6 Pb2,0
365,Ce1 Pt2 Si2,0
366,Ge2 Rh1 Zr1,0
367,Ba2.5 O8 Sr0.5 V2,1
368,Er1 Ga3 Mn0.118,1
369,K4 O12 Zr5,0
370,Bi2.18 O9 Sr0.73 Ta2,1
371,H2 O4 P1 Rb0.7 Tl0.3,1
372,Cl9 K3 Mo2,0
373,K0.02 Mn1 Na0.08 O3 Pr0.9,1
374,Cr2 Si2 Sm1,0
375,Au1 Sb2 U1,0
376,Ba88 Br2 Cu88 O175,1
377,C7.992 Li0.444,1
378,Al1.87 Ca2.14 Fe0.85 Mg0.09 Mn0.04 O12 Si3 Ti0.01,1
379,Mo1 N2 Na4 O2,0
380,Ag0.93 Cr1 S4 Sn1,1
381,Li2 Mn2 O12 S3,0
382,K0.08 Mn1 Na0.02 O3 Pr0.9,1
383,Ge1 K0.21 O2.92 Sr0.79,1
384,Ca0.75 O4 Sr0.25 W1,1
385,H2 B22 Co6 O40,0
386,B12 Se12 Sn3.88 Te3.53,1
387,As1 Ba0.7 Fe2 P1 Sr0.3,1
388,Cr2 S2.8 Se1.2 Zn1,1
389,Fe7 O9,0
390,La2 O7 Ti2,0
391,Ag0.027 In0.66 Te1,1
392,H38 Ga1 Mo6 O40 Rh1,0
393,C6 Ni60 Tb11,0
394,Ir7 Sc44,0
